tconst,primaryTitle,genres,averageRating,startYear,nconst,primaryName,category,primaryProfession
tt0014187,The Last Hour,Crime,6.9,1923,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0014187,The Last Hour,Crime,6.9,1923,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0015766,The Drug Store Cowboy,"Action,Comedy,Romance",6.3,1925,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0016052,The Lucky Horseshoe,Western,5.6,1925,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0016449,The Trail Rider,Western,5.2,1925,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0016453,Tricks,"Comedy,Drama,Western",5.9,1925,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0016534,Wild Horse Mesa,Western,6.6,1925,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0016618,Bad Man's Bluff,Western,6.1,1926,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017400,A Six Shootin' Romance,Western,6.6,1926,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017465,Three Pals,Romance,5.9,1926,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017530,Watch Your Wife,"Comedy,Drama",6.0,1926,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017567,The Winning of Barbara Worth,"Drama,Romance,Western",6.9,1926,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017637,Arizona Bound,Western,6.9,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017751,Children of Divorce,"Drama,Romance",6.5,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018033,It,"Comedy,Romance",7.2,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018080,The Last Outlaw,Western,5.8,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018199,Nevada,Western,6.2,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018578,Wings,"Action,Drama,Romance",7.5,1927,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018681,Beau Sabreur,"Adventure,Romance",6.1,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018846,Doomsday,"Drama,Romance",6.2,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018892,The First Kiss,"Drama,Romance",5.8,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0018971,Half a Bride,"Adventure,Drama,Romance",6.1,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0019080,The Legion of the Condemned,"Action,Drama,Romance",5.9,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0019098,Lilac Time,"Drama,Romance,War",6.5,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0019375,The Shopworn Angel,"Drama,Romance,War",6.8,1928,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0019687,Betrayal,Drama,5.4,1929,nm0000011,Gary Cooper,actor,"actor,stunts,producer"
tt0017736,The Loves of Casanova,"Biography,Drama",7.1,1927,nm0000016,Georges Delerue,composer,"composer,music_department,actor"
tt0018523,The Horse Ate the Hat,Comedy,6.9,1928,nm0000016,Georges Delerue,composer,"composer,music_department,actor"
tt0018826,Two Timid Souls,Comedy,6.8,1928,nm0000016,Georges Delerue,composer,"composer,music_department,actor"
tt0013617,The Little Napoleon,"Biography,Drama",5.7,1923,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0014269,Man by the Roadside,Drama,4.9,1923,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0014504,Der Sprung ins Leben,Drama,5.2,1924,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0016467,Dance Fever,"Comedy,Drama",6.0,1925,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0017017,The Imaginary Baron,\N,6.0,1927,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0017726,Café Elektric,Drama,6.3,1927,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0018372,His Greatest Bluff,Comedy,6.5,1927,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0018588,Three Loves,Drama,6.7,1929,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0018656,The Art of Love,Drama,5.3,1928,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0019918,Nights of Love,Comedy,6.3,1930,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0020011,I Kiss Your Hand Madame,Drama,6.2,1929,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0020011,I Kiss Your Hand Madame,Drama,6.2,1929,nm0000017,Marlene Dietrich,actress,"actress,music_department,soundtrack"
tt0014925,Forbidden Paradise,Comedy,6.1,1924,nm0000022,Clark Gable,actor,"actor,producer,soundtrack"
tt0015491,White Man,Drama,6.9,1924,nm0000022,Clark Gable,actor,"actor,producer,soundtrack"
tt0016194,Welcome Granger,"Comedy,Short",7.0,1925,nm0000022,Clark Gable,actor,"actor,producer,soundtrack"
tt0016226,The Plastic Age,"Comedy,Romance,Sport",5.9,1925,nm0000022,Clark Gable,actor,"actor,producer,soundtrack"
tt0017212,North Star,Drama,6.6,1925,nm0000022,Clark Gable,actor,"actor,producer,soundtrack"
tt0015495,Who Is the Man?,Drama,7.1,1924,nm0000024,John Gielgud,actor,"actor,director,writer"
tt0019775,The Clue of the New Pin,"Crime,Mystery",5.5,1929,nm0000024,John Gielgud,actor,"actor,director,writer"
tt0015217,The Passionate Adventure,Drama,6.4,1924,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0015493,White Shadows,Drama,6.0,1924,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0015493,White Shadows,Drama,6.0,1924,nm0000033,Alfred Hitchcock,editor,"director,producer,writer"
tt0015493,White Shadows,Drama,6.0,1924,nm0000033,Alfred Hitchcock,production_designer,"director,producer,writer"
tt0015508,Woman to Woman,"Drama,Romance",6.9,1923,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0016230,The Pleasure Garden,"Drama,Romance",5.8,1925,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0016246,Die Prinzessin und der Geiger,Drama,7.1,1925,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0017075,The Lodger: A Story of the London Fog,"Crime,Drama,Mystery",7.3,1927,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0017825,Downhill,"Adventure,Drama,Thriller",6.0,1927,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0017843,Easy Virtue,"Romance,Thriller",5.4,1927,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0018328,The Ring,"Drama,Romance,Sport",6.1,1927,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0018328,The Ring,"Drama,Romance,Sport",6.1,1927,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0018756,Champagne,Comedy,5.4,1928,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0018756,Champagne,Comedy,5.4,1928,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0018876,The Farmer's Wife,"Comedy,Drama,Romance",5.8,1928,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0019702,Blackmail,"Crime,Drama,Thriller",6.9,1929,nm0000033,Alfred Hitchcock,director,"director,producer,writer"
tt0019702,Blackmail,"Crime,Drama,Thriller",6.9,1929,nm0000033,Alfred Hitchcock,writer,"director,producer,writer"
tt0007761,The Butcher Boy,"Comedy,Short",6.3,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0007819,Coney Island,"Comedy,Short",6.3,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0007819,Coney Island,"Comedy,Short",6.3,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0007825,A Country Hero,"Comedy,Short",7.0,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008112,His Wedding Night,"Comedy,Short",5.9,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008377,Oh Doctor!,"Comedy,Short",5.8,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008500,A Reckless Romeo,"Comedy,Short",6.2,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008523,The Rough House,"Comedy,Short",5.6,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008523,The Rough House,"Comedy,Short",5.6,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008523,The Rough House,"Comedy,Short",5.6,1917,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008523,The Rough House,"Comedy,Short",5.6,1917,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0008523,The Rough House,"Comedy,Short",5.6,1917,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0008874,The Bell Boy,"Comedy,Short",6.7,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0008975,The Cook,"Comedy,Short",6.6,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0009123,"Good Night, Nurse!","Comedy,Short",6.1,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0009123,"Good Night, Nurse!","Comedy,Short",6.1,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0009389,Moonshine,"Comedy,Short",5.8,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0009466,Out West,"Comedy,Short,Western",6.4,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
